company,listing_country,locality,industry,sector,reporting_year,listing_year,incorporation_year,net_prof,tot_asst,bk_eqt,market_value,com_1,com_2,com_3,com_4,com_5,com_6,com_7,com_8,com_9,com_10,com_11,com_12,com_13,com_14,com_15,com_16,com_17,com_18,com_19,com_20,com_21,com_22,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_24,hr_25,hr_26,hr_27,hr_28,hr_29,hr_30,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,env_1,env_2,env_3,env_4,env_5,env_6,env_7,env_8,env_9,env_10,env_11,env_12,env_13,env_14,env_15,ene_1,ene_2,ene_3,ene_4,ene_5,ene_6,ene_7,emi_1,emi_2,emi_3,emi_4,emi_5,emi_6,emi_7,emi_8,emi_9,emi_10,oth_1,oth_2,oth_3,oth_4,oth_5,oth_6,social_committee
Carbacid Investments,Kenya,Local,Chemicals,Basic Materials,2016,1972,1970,375568000,3306974000,2924084000,3771809378,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbacid Investments,Kenya,Local,Chemicals,Basic Materials,2017,1972,1970,352300000,3371233000,3044214000,3338561003.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbacid Investments,Kenya,Local,Chemicals,Basic Materials,2018,1972,1970,298526000,853021000,435 048 000,2803371835,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cargo Carriers Limited,South Africa,Multinational,Industrial Transportation,Industrials,2014,1987,1956,49829000,862215000,459 628 000,0,4,0,4,0,0,0,4,4,0,0,0,0,0,4,4,0,4,0,0,0,0,0,4,4,4,0,4,4,4,4,4,4,0,0,4,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,4,0,4,0,4,0,0,0,4,0,4,4,4,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1
Cargo Carriers Limited,South Africa,Multinational,Industrial Transportation,Industrials,2015,1987,1956,57400000,824311000,458 114000,0,4,0,4,0,0,0,4,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,4,4,0,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,1
Cargo Carriers Limited,South Africa,Multinational,Industrial Transportation,Industrials,2016,1987,1956,40773000,778924000,476 135 000,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,4,0,4,0,0,0,4,4,0,0,4,0,0,4,0,0,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,4,0,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,4,0,0,4,0,4,1
Cargo Carriers Limited,South Africa,Multinational,Industrial Transportation,Industrials,2017,1987,1956,22309000,6172000,476 135000,0,4,0,4,0,0,0,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4,4,0,4,0,0,4,4,4,0,0,4,0,4,4,0,4,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,0,4,0,4,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,0,4,1
Cargo Carriers Limited,South Africa,Multinational,Industrial Transportation,Industrials,2018,1987,1956,23716000,589000,497 439000,0,4,0,4,0,0,0,4,4,4,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4,4,0,4,4,0,0,4,4,0,0,4,0,4,4,0,4,0,4,4,4,0,0,4,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,4,4,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,4,0,4,1
Cashbuild Limited,South Africa,Multinational,General Retailers,Consumer Services,2014,1986,1986,268000,3050714000,1 345 034 000,0,0,0,4,0,0,4,4,4,4,0,0,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,4,4,4,0,4,4,0,0,4,0,4,4,0,4,0,4,4,4,0,4,4,4,0,0,0,0,0,0,4,0,4,4,0,0,4,4,0,4,0,4,0,4,0,0,0,0,0,4,4,0,0,4,4,0,4,0,4,4,0,0,0,0,0,0,4,4,0,4,0,4,1
Cashbuild Limited,South Africa,Multinational,General Retailers,Consumer Services,2015,1986,1986,357000,3538946000,1 465 425 000,0,4,0,4,0,0,4,4,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,4,0,4,0,4,0,4,4,0,0,0,0,4,4,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
