company,listing_country,locality,industry,sector,reporting_year,listing_year,incorporation_year,net_prof,tot_asst,bk_eqt,market_value,com_1,com_2,com_3,com_4,com_5,com_6,com_7,com_8,com_9,com_10,com_11,com_12,com_13,com_14,com_15,com_16,com_17,com_18,com_19,com_20,com_21,com_22,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,hr_24,hr_25,hr_26,hr_27,hr_28,hr_29,hr_30,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,env_1,env_2,env_3,env_4,env_5,env_6,env_7,env_8,env_9,env_10,env_11,env_12,env_13,env_14,env_15,ene_1,ene_2,ene_3,ene_4,ene_5,ene_6,ene_7,emi_1,emi_2,emi_3,emi_4,emi_5,emi_6,emi_7,emi_8,emi_9,emi_10,oth_1,oth_2,oth_3,oth_4,oth_5,oth_6,social_committee
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2014,,,712036000,22337071000,10989176000,3467949.9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2015,,,165125000,21777950000,11233270000,1641319.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2016,,,1323645000,18104847000,4644323000,2541398.4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2017,,,1323625000,18268284000,7275893000,1853103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.G. Leventis Nigeria Plc.[Bls],Nigeria,Local,General Retailers,Consumer Goods,2018,,,1323645000,4739786000,2693625000,714768.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2014,2016,1852,11302000000,142550000000,54257000000,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2015,2016,1852,9867000000,134635000000,45719000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2016,2016,1852,2769000000,258381000000,81425000000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2017,2016,1852,9183000000,246126000000,80220000000,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,4,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,4,0,0,0
Ab Inbev,South Africa,Multinational,Beverages,Consumer Goods,2018,2016,1852,5691000000,232103000000,71904000000,0,0,0,0,0,0,5,0,4,0,0,0,0,0,5,4,0,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,4,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2014,2006,1996,-3005965,50180731,49206550,0,4,0,4,0,0,4,0,5,0,0,0,0,0,0,0,0,5,3,0,5,0,5,4,4,4,0,4,0,0,0,4,4,0,4,4,0,4,0,0,4,4,5,5,4,0,0,0,5,4,0,0,0,0,5,5,0,0,5,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2015,2006,1996,3508626,54595069,53822313,166269688.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2016,2006,1996,3508626,54594069,53822313,196682217.4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2017,2006,1996,-4144083,55060277,54567621,305159703.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-Cap Resources,Botswana,Multinational,Mining,Basic Materials,2018,2006,1996,21637,54817834,54560202,340035097.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2014,2006,1953,5140000,241292000,152379000,0,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,4,4,4,0,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,0,4,0,4,0,4,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2015,2006,1953,4711000,230838000,157562000,0,4,0,4,0,0,4,4,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,0,4,0,4,0,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2016,2006,1953,7525000,239484000,153469000,0,4,0,4,0,0,4,4,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,4,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2017,2006,1953,917000,189452000,132556000,0,4,0,4,0,0,4,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4,0,0,4,4,0,0,4,4,0,0,4,0,0,4,4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,4,4,0,4,0,4,0,0,0,4,0,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Accentuate Limited,South Africa,Local,Chemicals,Basic Materials,2018,2006,1953,-22184000,224039000,110341000,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2014,1998,1998,-152779,546019598,118478161,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,4,4,4,0,0,4,0,4,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,4,0,4,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2015,1998,1998,722792,964877045,231290344,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,4,0,4,0,0,4,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2016,1998,1998,19960756,1086447418,349593289,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,4,0,4,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2017,1998,1998,65591797,3499683979,469491097,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,4,0,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,1
Adapt It Holdings Limited,South Africa,Multinational,Software and Computer Services,Technology,2018,1998,1998,22215616,403050984,401797263,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,4,0,4,0,0,4,0,4,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1
Adcock Ingram Holdings Limited,South Africa,Multinational,Pharmaceuticals and Biotechnology,Healthcare,2014,2008,1890,-917244,5457952,1083096000,0,4,0,4,0,0,4,4,4,4,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4,0,0,0,4,0,4,4,4,0,0,4,0,4,0,0,4,0,0,5,4,0,0,4,4,0,0,0,0,0,4,4,4,4,4,0,0,4,0,4,4,0,4,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
Adcock Ingram Holdings Limited,South Africa,Multinational,Pharmaceuticals and Biotechnology,Healthcare,2015,2008,1890,260089000,5596607,1196515000,0,4,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,4,0,0,0,0,4,4,4,0,0,4,0,4,0,0,4,0,4,5,4,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Adcock Ingram Holdings Limited,South Africa,Multinational,Pharmaceuticals and Biotechnology,Healthcare,2016,2008,1890,292350000,5562973,1272034000,0,4,0,4,0,0,4,4,4,4,0,0,0,0,4,4,0,4,0,0,0,0,4,4,0,4,0,0,5,0,0,4,0,0,0,4,0,5,0,0,5,0,0,4,5,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adcock Ingram Holdings Limited,South Africa,Multinational,Pharmaceuticals and Biotechnology,Healthcare,2017,2008,1890,411015000,5562973000,3495004000,0,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,4,4,4,0,0,4,4,0,0,4,4,0,0,4,0,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Adcock Ingram Holdings Limited,South Africa,Multinational,Pharmaceuticals and Biotechnology,Healthcare,2018,2008,1890,651113000,6270725000,3914919000,0,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,4,4,5,0,0,0,4,0,0,4,4,0,0,4,0,5,0,0,5,0,4,5,4,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,1
Adcorp Holdings Limited,South Africa,Multinational,Support Services,Industrials,2014,1987,1975,358572000,5344628,2035838000,0,4,0,4,4,0,4,4,4,4,0,0,0,0,4,4,0,4,0,0,4,0,4,4,4,4,0,4,4,0,0,4,4,0,4,4,0,4,4,0,4,4,4,4,4,4,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,4,4,4,4,0,4,0,4,0,0,0,4,0,4,0,0,0,4,4,0,4,0,4,4,0,4,0,0,0,0,4,4,0,4,0,4,1
Adcorp Holdings Limited,South Africa,Multinational,Support Services,Industrials,2015,1987,1975,451754000,6378160,2450289000,0,5,0,5,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,4,0,0,4,0,4,5,0,5,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,4,0,5,1
Adcorp Holdings Limited,South Africa,Multinational,Support Services,Industrials,2016,1987,1975,553994000,5744072,2534492000,0,4,4,4,4,0,4,4,4,4,0,0,0,0,4,4,0,4,0,0,0,0,4,4,4,4,0,0,4,0,4,4,4,0,4,4,0,4,4,0,4,0,4,4,4,4,4,4,4,0,0,0,0,0,0,4,4,4,4,0,0,4,0,4,0,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,4,4,0,4,0,0,0,0,4,4,0,4,0,4,1
Adcorp Holdings Limited,South Africa,Multinational,Support Services,Industrials,2017,1987,1975,181455000,4111633000,2534492000,0,4,4,4,4,0,4,4,4,4,0,0,0,0,4,4,0,4,0,0,0,0,4,4,4,0,0,0,4,0,0,4,4,0,4,4,0,4,4,0,4,0,4,4,4,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,4,4,0,0,0,4,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,4,1
Adcorp Holdings Limited,South Africa,Multinational,Support Services,Industrials,2018,1987,1975,-643817000,4530798000,1740858000,0,4,0,4,0,0,4,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,4,4,0,0,4,0,4,0,0,4,4,4,5,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Advtech Limited,South Africa,Multinational,General Retailers,Consumer Services,2014,,,167100000,4302700000,1365800000,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1
Advtech Limited,South Africa,Multinational,General Retailers,Consumer Services,2015,,,167100000,4645400000,1544900000,0,4,4,4,0,0,0,0,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,1
Advtech Limited,South Africa,Multinational,General Retailers,Consumer Services,2016,,,560200000,5558800000,1554800000,0,4,4,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,3,0,0,4,4,5,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,1
Advtech Limited,South Africa,Multinational,General Retailers,Consumer Services,2017,,,529000000,5115000000,2866100000,0,4,4,4,0,0,4,4,4,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,3,0,0,4,4,4,4,0,4,3,0,0,4,0,0,0,0,4,4,0,4,0,0,0,4,4,0,0,4,4,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,1
Advtech Limited,South Africa,Multinational,General Retailers,Consumer Services,2018,,,592500000,5711800000,3171900000,0,4,4,4,0,0,4,4,4,4,0,0,0,4,4,4,0,0,4,0,0,0,4,4,4,4,0,4,0,0,0,5,4,0,0,5,0,0,4,0,4,0,5,4,4,0,0,4,0,4,4,0,0,0,0,4,4,0,4,0,0,4,4,4,4,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,4,1
Aeci Limited,South Africa,Multinational,Chemicals,Basic Materials,2014,1966,1924,1109000000,14787000000,7803000000,0,5,0,5,0,0,5,5,5,5,0,0,0,0,5,5,0,5,0,0,0,0,5,5,5,5,0,0,5,0,0,5,5,0,5,5,0,5,5,0,0,5,5,5,5,5,5,0,5,0,0,0,0,0,5,5,0,0,0,0,0,5,5,5,5,0,5,5,0,0,0,0,5,5,0,0,0,0,5,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0
Aeci Limited,South Africa,Multinational,Chemicals,Basic Materials,2015,1966,1924,1029000000,17794000000,8938000000,0,5,0,5,0,0,5,0,5,5,0,0,0,0,5,0,0,5,0,0,0,0,4,5,5,0,0,4,4,0,0,5,5,0,0,4,0,4,0,0,0,0,5,5,4,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,5,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeci Limited,South Africa,Multinational,Chemicals,Basic Materials,2016,1966,1924,812000000,15820000000,9046000000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeci Limited,South Africa,Multinational,Chemicals,Basic Materials,2017,1966,1924,983000000,15971000000,9356000000,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeci Limited,South Africa,Multinational,Chemicals,Basic Materials,2018,1966,1924,1027000000,22275000000,10205000000,0,5,5,5,0,0,4,4,5,4,0,0,0,0,4,4,0,5,0,0,0,0,0,4,5,4,0,4,0,0,0,4,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,4,4,4,0,4,0,0,4,4,0,4,0,0,4,4,0,0,0,5,0,4,4,0,0,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Africa Prudential Plc,Nigeria,Local,Software and Computer Services,Technology,2014,2013,2006,706199000,17692101000,4574968000,6080000000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
Africa Prudential Plc,Nigeria,Local,Software and Computer Services,Technology,2015,2013,2006,1088886000,16821680000,4550774000,4980000000,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
Africa Prudential Plc,Nigeria,Local,Software and Computer Services,Technology,2016,2013,2006,835806000,16821680000,4550774000,6100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Prudential Plc,Nigeria,Local,Software and Computer Services,Technology,2017,2013,2006,2988711000,21933507000,6939485000,8440000000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Prudential Plc,Nigeria,Local,Software and Computer Services,Technology,2018,2013,2006,2567715000,21271750000,8596589000,7740000000,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0
African And Overseas Enterprises Limited,South Africa,Multinational,General Retailers,Consumer Services,2014,1948,1947,-6930000,327101000,261410000,136600000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
African And Overseas Enterprises Limited,South Africa,Multinational,General Retailers,Consumer Services,2015,1948,1947,11821000,341532000,261860000,126500000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
African And Overseas Enterprises Limited,South Africa,Multinational,General Retailers,Consumer Services,2016,1948,1947,4241000,330615000,260245000,125700000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1
